Participant,Session,Radius_pre,Radius_post,Metric_pre,Metric_post,Correlation,p_value,Network
P1,S1,5,100,Salience,Fluidity,0.2155957834838849,0.20664816625881666,SalVentAttn
P1,S1,5,100,Salience,Complexity,-0.23634293379349464,0.16520904429895,SalVentAttn
P1,S1,5,100,Entrainment,ZCR,0.20694773679850653,0.2258846898843205,SalVentAttn
P1,S1,5,100,Entrainment,Salience,-0.2618374784313091,0.12291946077417447,SalVentAttn
P1,S1,5,100,Entrainment,Entrainment,-0.028016899208431728,0.8711479895597554,SalVentAttn
P1,S1,5,100,Entrainment,Fluidity,-0.14157473571756898,0.410149581320448,SalVentAttn
P1,S1,5,100,Entrainment,Complexity,0.0837023144030343,0.6274329978777066,SalVentAttn
P1,S1,5,100,Fluidity,ZCR,0.2608215856525997,0.12443233940151632,SalVentAttn
P1,S1,5,100,Fluidity,Salience,-0.2279812327105101,0.18112416470163312,SalVentAttn
P1,S1,5,100,Fluidity,Entrainment,-0.12485554069947913,0.4681198737734863,SalVentAttn
P1,S1,5,100,Fluidity,Fluidity,-0.16592450186480592,0.3334748424688721,SalVentAttn
P1,S1,5,100,Fluidity,Complexity,0.05598344557633783,0.7457104502855917,SalVentAttn
P1,S1,5,100,Complexity,ZCR,-0.09970595228964793,0.5628808745433193,SalVentAttn
P1,S1,5,100,Complexity,Salience,0.1431407632490126,0.4049374148226933,SalVentAttn
P1,S1,5,100,Complexity,Entrainment,0.10069543003698284,0.5589924527347038,SalVentAttn
P1,S1,5,100,Complexity,Fluidity,0.2538074531515352,0.13525855864412537,SalVentAttn
P1,S1,5,100,Complexity,Complexity,-0.15923205091060488,0.353608826241807,SalVentAttn
P1,S1,10,5,ZCR,ZCR,-0.4740541871227568,0.003491951766631085,SalVentAttn
P1,S1,10,5,ZCR,Salience,-0.0071181086449769795,0.9671349797958361,SalVentAttn
P1,S1,10,5,ZCR,Entrainment,0.12657702870804216,0.461958307252328,SalVentAttn
P1,S1,10,5,ZCR,Fluidity,-0.12395534578674261,0.4713590816460017,SalVentAttn
P1,S1,10,5,ZCR,Complexity,-0.0842018284570047,0.6253729056595567,SalVentAttn
P1,S1,10,5,Salience,ZCR,0.20790063621465604,0.2237072565293149,SalVentAttn
P1,S1,10,5,Salience,Salience,0.3041485857557564,0.07131214617853175,SalVentAttn
P1,S1,10,5,Salience,Entrainment,0.1387130590840886,0.41977173712085136,SalVentAttn
P1,S1,10,5,Salience,Fluidity,-0.017856992642879134,0.917670248236092,SalVentAttn
P1,S1,10,5,Salience,Complexity,-0.04114313616517838,0.8116891406754003,SalVentAttn
P1,S1,10,5,Entrainment,ZCR,0.4584829055587273,0.004919879039681835,SalVentAttn
P1,S1,10,5,Entrainment,Salience,-0.17843823553240695,0.29776845498478355,SalVentAttn
P1,S1,10,5,Entrainment,Entrainment,-0.1341431265591437,0.4353974048671785,SalVentAttn
P1,S1,10,5,Entrainment,Fluidity,0.15230157438320277,0.3752143470171553,SalVentAttn
P1,S1,10,5,Entrainment,Complexity,0.008282297959302659,0.9617634567874621,SalVentAttn
P1,S1,10,5,Fluidity,ZCR,0.16237704476021203,0.3440575632812788,SalVentAttn
P1,S1,10,5,Fluidity,Salience,-0.5623914540496029,0.0003570463268243156,SalVentAttn
P1,S1,10,5,Fluidity,Entrainment,-0.23299278255445044,0.17146016266926728,SalVentAttn
P1,S1,10,5,Fluidity,Fluidity,0.10112173129947985,0.5573210352648439,SalVentAttn
P1,S1,10,5,Fluidity,Complexity,0.0729188756943928,0.6725608006004222,SalVentAttn
P1,S1,10,5,Complexity,ZCR,-0.4148331646194452,0.011880928191352608,SalVentAttn
P1,S1,10,5,Complexity,Salience,-0.0019498527121320011,0.9909950845604991,SalVentAttn
P1,S1,10,5,Complexity,Entrainment,0.020006832143737212,0.9077983869784934,SalVentAttn
P1,S1,10,5,Complexity,Fluidity,-0.1428631821790444,0.4058585116818042,SalVentAttn
P1,S1,10,5,Complexity,Complexity,0.17541350441357068,0.3061665777342817,SalVentAttn
P1,S1,10,50,ZCR,ZCR,-0.17231359368626034,0.31492742037316723,SalVentAttn
P1,S1,10,50,ZCR,Salience,-0.11273931488887215,0.512689628923662,SalVentAttn
P1,S1,10,50,ZCR,Entrainment,-0.011412016788993336,0.9473319233495223,SalVentAttn
P1,S1,10,50,ZCR,Fluidity,-0.015783706377304613,0.9272020983303267,SalVentAttn
P1,S1,10,50,ZCR,Complexity,0.09883164545407223,0.5663270384509141,SalVentAttn
P1,S1,10,50,Salience,ZCR,-0.07050521872165671,0.6828251766076724,SalVentAttn
P1,S1,10,50,Salience,Salience,0.3337920728908235,0.04664108841524461,SalVentAttn
P1,S1,10,50,Salience,Entrainment,0.12512389459013198,0.467156528735666,SalVentAttn
P1,S1,10,50,Salience,Fluidity,0.009657873136640342,0.9554187618923138,SalVentAttn
P1,S1,10,50,Salience,Complexity,-0.22208208046008493,0.1929870236626903,SalVentAttn
P1,S1,10,50,Entrainment,ZCR,0.1804329418171759,0.2923114283097915,SalVentAttn
P1,S1,10,50,Entrainment,Salience,-0.09468674155398914,0.5827946738599983,SalVentAttn
P1,S1,10,50,Entrainment,Entrainment,0.03301526305541839,0.8484060994132493,SalVentAttn
P1,S1,10,50,Entrainment,Fluidity,0.0019783515341074975,0.9908634752117668,SalVentAttn
P1,S1,10,50,Entrainment,Complexity,-0.06060801514633757,0.7254852823665425,SalVentAttn
P1,S1,10,50,Fluidity,ZCR,0.27287495011395324,0.10735547599491119,SalVentAttn
P1,S1,10,50,Fluidity,Salience,-0.46147376324732603,0.004611950297156652,SalVentAttn
P1,S1,10,50,Fluidity,Entrainment,-0.322117294515106,0.055376341979678605,SalVentAttn
P1,S1,10,50,Fluidity,Fluidity,0.08021139653235586,0.6419070177549765,SalVentAttn
P1,S1,10,50,Fluidity,Complexity,0.10019532360212474,0.5609561994025496,SalVentAttn
P1,S1,10,50,Complexity,ZCR,-0.10920770963835269,0.5260663200326504,SalVentAttn
P1,S1,10,50,Complexity,Salience,0.04741279083002184,0.7836301392833165,SalVentAttn
P1,S1,10,50,Complexity,Entrainment,0.09320877196659835,0.5887177641444524,SalVentAttn
P1,S1,10,50,Complexity,Fluidity,0.1693421908397732,0.32347123010497736,SalVentAttn
P1,S1,10,50,Complexity,Complexity,-0.11415136183242344,0.5073890199607715,SalVentAttn
P1,S1,10,100,ZCR,ZCR,-0.06863429705792193,0.6908203415151178,SalVentAttn
P1,S1,10,100,ZCR,Salience,-0.09011841167060743,0.6011875894285065,SalVentAttn
P1,S1,10,100,ZCR,Entrainment,-0.1258065762428654,0.46471055757327695,SalVentAttn
P1,S1,10,100,ZCR,Fluidity,-0.2541117802508769,0.13477487487110784,SalVentAttn
P1,S1,10,100,ZCR,Complexity,0.18623719100546562,0.2767997124093654,SalVentAttn
P1,S1,10,100,Salience,ZCR,-0.22210673615757395,0.19293633505813707,SalVentAttn
P1,S1,10,100,Salience,Salience,0.31595123102831557,0.06048909531499288,SalVentAttn
P1,S1,10,100,Salience,Entrainment,0.21046427144591612,0.21792050967228221,SalVentAttn
P1,S1,10,100,Salience,Fluidity,0.27946113805083883,0.09880695853485395,SalVentAttn
P1,S1,10,100,Salience,Complexity,-0.2899417585003479,0.08628649270400576,SalVentAttn
P1,S1,10,100,Entrainment,ZCR,0.11412816191065442,0.5074758862520141,SalVentAttn
P1,S1,10,100,Entrainment,Salience,-0.10592083662927787,0.5386671640882964,SalVentAttn
P1,S1,10,100,Entrainment,Entrainment,0.11193588787751291,0.5157178243807629,SalVentAttn
P1,S1,10,100,Entrainment,Fluidity,0.05813719512391714,0.7362694432098862,SalVentAttn
P1,S1,10,100,Entrainment,Complexity,-0.11518165860945959,0.5035388656275412,SalVentAttn
P1,S1,10,100,Fluidity,ZCR,0.38071777433757686,0.021979682164724398,SalVentAttn
P1,S1,10,100,Fluidity,Salience,-0.4499354565352835,0.005899673760276294,SalVentAttn
P1,S1,10,100,Fluidity,Entrainment,-0.24969207803493582,0.1419256581153806,SalVentAttn
P1,S1,10,100,Fluidity,Fluidity,-0.15984201336606185,0.35174398877398416,SalVentAttn
P1,S1,10,100,Fluidity,Complexity,0.12895865253591826,0.4535057728217452,SalVentAttn
P1,S1,10,100,Complexity,ZCR,-0.023416651288024365,0.892169251733381,SalVentAttn
P1,S1,10,100,Complexity,Salience,0.053747427084260724,0.7555508042008829,SalVentAttn
P1,S1,10,100,Complexity,Entrainment,0.050382680079264774,0.7704297129798663,SalVentAttn
P1,S1,10,100,Complexity,Fluidity,0.22330497804261987,0.19048416924016606,SalVentAttn
P1,S1,10,100,Complexity,Complexity,-0.07314619031082575,0.6715970779125777,SalVentAttn
P1,S1,20,5,ZCR,ZCR,-0.32884002805233153,0.050200246905020396,SalVentAttn
P1,S1,20,5,ZCR,Salience,-0.12597178292606548,0.46411966503165425,SalVentAttn
P1,S1,20,5,ZCR,Entrainment,0.08578529377479045,0.6188608961256467,SalVentAttn
P1,S1,20,5,ZCR,Fluidity,0.021177504268320567,0.9024283905959036,SalVentAttn
P1,S1,20,5,ZCR,Complexity,-0.10021588555599484,0.5608753968266771,SalVentAttn
P1,S1,20,5,Salience,ZCR,0.1292991538170581,0.45230416214017766,SalVentAttn
P1,S1,20,5,Salience,Salience,0.4026887911695446,0.014893812278259607,SalVentAttn
P1,S1,20,5,Salience,Entrainment,0.16390994264867176,0.33945978212519534,SalVentAttn
P1,S1,20,5,Salience,Fluidity,-0.06851521462077642,0.6913303541985948,SalVentAttn
P1,S1,20,5,Salience,Complexity,-0.02235368425954132,0.8970374199774217,SalVentAttn
P1,S1,20,5,Entrainment,ZCR,0.3474032263939544,0.037892844427903166,SalVentAttn
P1,S1,20,5,Entrainment,Salience,-0.08522604914452866,0.6211575636618301,SalVentAttn
P1,S1,20,5,Entrainment,Entrainment,-0.10311483802037828,0.5495375704769702,SalVentAttn
P1,S1,20,5,Entrainment,Fluidity,0.11828893466377044,0.492017046370645,SalVentAttn
P1,S1,20,5,Entrainment,Complexity,0.03868916995833814,0.8227368358772107,SalVentAttn
P1,S1,20,5,Fluidity,ZCR,0.10846857374846168,0.528887343326493,SalVentAttn
P1,S1,20,5,Fluidity,Salience,-0.5959994612546214,0.00012533025411532917,SalVentAttn
P1,S1,20,5,Fluidity,Entrainment,-0.2452858491040093,0.149327819256943,SalVentAttn
P1,S1,20,5,Fluidity,Fluidity,0.038019860097491795,0.8257559814527058,SalVentAttn
P1,S1,20,5,Fluidity,Complexity,0.2825570656267531,0.09497256544199568,SalVentAttn
P1,S1,20,5,Complexity,ZCR,-0.32782137122727495,0.050958656192976126,SalVentAttn
P1,S1,20,5,Complexity,Salience,-0.15646406165903093,0.36214616266973443,SalVentAttn
P1,S1,20,5,Complexity,Entrainment,-0.02501775958885865,0.884843883504419,SalVentAttn
P1,S1,20,5,Complexity,Fluidity,-0.12027819516134743,0.48471244331462304,SalVentAttn
P1,S1,20,5,Complexity,Complexity,0.16469673454196873,0.33711456308099796,SalVentAttn
P1,S1,20,50,ZCR,ZCR,0.02290110869103327,0.8945298561393402,SalVentAttn
P1,S1,20,50,ZCR,Salience,-0.26043712651926376,0.12500848313472046,SalVentAttn
P1,S1,20,50,ZCR,Entrainment,-0.04378737755958817,0.7998248441776231,SalVentAttn
P1,S1,20,50,ZCR,Fluidity,0.013967376682303578,0.9355608539882045,SalVentAttn
P1,S1,20,50,ZCR,Complexity,0.14308384345088776,0.4051261943478214,SalVentAttn
P1,S1,20,50,Salience,ZCR,-0.14335419452862422,0.4042299986391507,SalVentAttn
P1,S1,20,50,Salience,Salience,0.44748011108237007,0.006210437539551257,SalVentAttn
P1,S1,20,50,Salience,Entrainment,0.16543626960743057,0.3349192979694974,SalVentAttn
P1,S1,20,50,Salience,Fluidity,-0.009739468612010006,0.9550424923584636,SalVentAttn
P1,S1,20,50,Salience,Complexity,-0.2708179233801443,0.11013680758767218,SalVentAttn
P1,S1,20,50,Entrainment,ZCR,0.04519613141940187,0.7935217767298701,SalVentAttn
P1,S1,20,50,Entrainment,Salience,0.04381143359234866,0.7997171065230126,SalVentAttn
P1,S1,20,50,Entrainment,Entrainment,0.07904827603538751,0.6467588889307008,SalVentAttn
P1,S1,20,50,Entrainment,Fluidity,0.041667215920794504,0.8093343036507439,SalVentAttn
P1,S1,20,50,Entrainment,Complexity,-0.15968793501031953,0.35221448981747305,SalVentAttn
P1,S1,20,50,Fluidity,ZCR,0.22872488314358064,0.17966627285896272,SalVentAttn
P1,S1,20,50,Fluidity,Salience,-0.4165219752407086,0.01150599952705185,SalVentAttn
P1,S1,20,50,Fluidity,Entrainment,-0.22930681087802407,0.1785312547794758,SalVentAttn
P1,S1,20,50,Fluidity,Fluidity,0.10318753929781399,0.5492546287079727,SalVentAttn
P1,S1,20,50,Fluidity,Complexity,0.17212027209341108,0.3154789380842299,SalVentAttn
P1,S1,20,50,Complexity,ZCR,0.03583472369459184,0.8356296974781652,SalVentAttn
P1,S1,20,50,Complexity,Salience,-0.15222394802158457,0.37546066746696816,SalVentAttn
P1,S1,20,50,Complexity,Entrainment,-0.020412889691186986,0.9059352901351595,SalVentAttn
P1,S1,20,50,Complexity,Fluidity,0.16498454889935082,0.33625915577707033,SalVentAttn
P1,S1,20,50,Complexity,Complexity,0.03200623757502823,0.8529879390287293,SalVentAttn
P1,S1,20,100,ZCR,ZCR,0.11117880077083332,0.5185794490106879,SalVentAttn
P1,S1,20,100,ZCR,Salience,-0.23428427999782947,0.1690306099697122,SalVentAttn
P1,S1,20,100,ZCR,Entrainment,-0.18049968662051188,0.2921299475359719,SalVentAttn
P1,S1,20,100,ZCR,Fluidity,-0.3503007245901454,0.03621469125122033,SalVentAttn
P1,S1,20,100,ZCR,Complexity,0.25129952014317875,0.13929342393337765,SalVentAttn
P1,S1,20,100,Salience,ZCR,-0.296094553955187,0.07952863812062921,SalVentAttn
